SampleID,PlotID,StudyID,SampleTypeID,RainfallTreatmentID,ManureTreatmentID,SampleVolume_ml,ElapsedTimeSinceRainfallStarted_Minutes,ElapsedTimeSinceRunoffStarted_Minutes,Notes
C-401-S-T2,401,C,2,R_401_C,M_S_Day2_C_Spiked,10062,153,60,
C-402-X-5,402,C,1,R_402_C,M_X_Day2_C,488,97,5,
C-402-X-10,402,C,1,R_402_C,M_X_Day2_C,509,102,10,
C-402-X-15,402,C,1,R_402_C,M_X_Day2_C,864,107,15,
C-402-X-20,402,C,1,R_402_C,M_X_Day2_C,534,112,20,
C-402-X-30,402,C,1,R_402_C,M_X_Day2_C,531,122,30,
C-402-X-30-T1,402,C,2,R_402_C,M_X_Day2_C,921,127,30,
C-402-X-30-T2,402,C,2,R_402_C,M_X_Day2_C,7862,127,30,
C-402-X-60,402,C,1,R_402_C,M_X_Day2_C,543,152,60,
C-402-X-T1,402,C,2,R_402_C,M_X_Day2_C,1030,157,60,
C-402-X-T2,402,C,2,R_402_C,M_X_Day2_C,10262,157,60,
C-201-P-5,201,C,1,R_201_C,M_P_Day2_C_Spiked,444,88,5,
C-201-P-10,201,C,1,R_201_C,M_P_Day2_C_Spiked,391,93,10,
C-201-P-15,201,C,1,R_201_C,M_P_Day2_C_Spiked,976,98,15,
C-201-P-20,201,C,1,R_201_C,M_P_Day2_C_Spiked,492,103,20,
C-201-P-30,201,C,1,R_201_C,M_P_Day2_C_Spiked,456,113,30,
C-201-P-30-T1,201,C,2,R_201_C,M_P_Day2_C_Spiked,544,118,30,
C-201-P-30-T2,201,C,2,R_201_C,M_P_Day2_C_Spiked,2462,118,30,
C-201-P-60,201,C,1,R_201_C,M_P_Day2_C_Spiked,511,143,60,
C-201-P-T1,201,C,2,R_201_C,M_P_Day2_C_Spiked,723,148,60,
C-201-P-T2,201,C,2,R_201_C,M_P_Day2_C_Spiked,7062,148,60,
C-202-S-5,202,C,1,R_202_C,M_S_Day2_C_Spiked,486,165,5,
C-202-S-10,202,C,1,R_202_C,M_S_Day2_C_Spiked,503,170,10,
C-202-S-15,202,C,1,R_202_C,M_S_Day2_C_Spiked,896,175,15,
C-202-S-20,202,C,1,R_202_C,M_S_Day2_C_Spiked,470,180,20,
C-202-S-30,202,C,1,R_202_C,M_S_Day2_C_Spiked,406,190,30,
C-202-S-30-T1,202,C,2,R_202_C,M_S_Day2_C_Spiked,705,195,30,
